pkg,date,download_count,tt_downloads,treated,boughtstars,treated2,_merge
acnaweblib,2023-04-25,0,0,0,0,0,left_only
acnaweblib,2023-04-26,106,106,0,0,0,left_only
acnaweblib,2023-04-27,136,242,0,0,0,left_only
acnaweblib,2023-04-28,30,272,0,0,0,left_only
acnaweblib,2023-04-29,0,272,0,0,0,left_only
acnaweblib,2023-04-30,0,272,0,0,0,left_only
acnaweblib,2023-05-01,0,272,0,0,0,left_only
acnaweblib,2023-05-02,0,272,0,0,0,left_only
acnaweblib,2023-05-03,0,272,0,0,0,left_only
acnaweblib,2023-05-04,0,272,0,0,0,left_only
acnaweblib,2023-05-05,1,273,0,0,0,left_only
acnaweblib,2023-05-06,1,274,0,0,0,left_only
acnaweblib,2023-05-07,0,274,0,0,0,left_only
acnaweblib,2023-05-08,0,274,0,0,0,left_only
acnaweblib,2023-05-09,0,274,0,0,0,left_only
acnaweblib,2023-05-10,0,274,0,0,0,left_only
acnaweblib,2023-05-11,1,275,0,0,0,left_only
acnaweblib,2023-05-12,1,276,0,0,0,left_only
acnaweblib,2023-05-13,17,293,0,0,0,left_only
acnaweblib,2023-05-14,17,310,0,0,0,left_only
acnaweblib,2023-05-15,0,310,0,0,0,left_only
acnaweblib,2023-05-16,0,310,0,0,0,left_only
acnaweblib,2023-05-17,1,311,0,0,0,left_only
acnaweblib,2023-05-18,1,312,0,0,0,left_only
acnaweblib,2023-05-19,0,312,0,0,0,left_only
acnaweblib,2023-05-20,0,312,0,0,0,left_only
acnaweblib,2023-05-21,0,312,0,0,0,left_only
acnaweblib,2023-05-22,0,312,0,0,0,left_only
acnaweblib,2023-05-23,0,312,0,0,0,left_only
acnaweblib,2023-05-24,0,312,0,0,0,left_only
acnaweblib,2023-05-25,0,312,0,0,0,left_only
acnaweblib,2023-05-26,0,312,0,0,0,left_only
acnaweblib,2023-05-27,0,312,0,0,0,left_only
acnaweblib,2023-05-28,1,313,0,0,0,left_only
acnaweblib,2023-05-29,1,314,0,0,0,left_only
acnaweblib,2023-05-30,2,316,0,0,0,left_only
acnaweblib,2023-05-31,0,316,0,0,0,left_only
acnaweblib,2023-06-01,0,316,0,0,0,left_only
acnaweblib,2023-06-02,0,316,0,0,0,left_only
acnaweblib,2023-06-03,0,316,0,0,0,left_only
acnaweblib,2023-06-04,0,316,0,0,0,left_only
acnaweblib,2023-06-05,0,316,0,0,0,left_only
acnaweblib,2023-06-06,0,316,0,0,0,left_only
acnaweblib,2023-06-07,0,316,0,0,0,left_only
acnaweblib,2023-06-08,0,316,0,0,0,left_only
acnaweblib,2023-06-09,0,316,0,0,0,left_only
acnaweblib,2023-06-10,0,316,0,0,0,left_only
acs-axiom,2023-04-25,0,0,0,0,0,left_only
acs-axiom,2023-04-26,0,0,0,0,0,left_only
acs-axiom,2023-04-27,0,0,0,0,0,left_only
acs-axiom,2023-04-28,0,0,0,0,0,left_only
acs-axiom,2023-04-29,1,1,0,0,0,left_only
acs-axiom,2023-04-30,1,2,0,0,0,left_only
acs-axiom,2023-05-01,0,2,0,0,0,left_only
acs-axiom,2023-05-02,0,2,0,0,0,left_only
acs-axiom,2023-05-03,0,2,0,0,0,left_only
acs-axiom,2023-05-04,0,2,0,0,0,left_only
acs-axiom,2023-05-05,0,2,0,0,0,left_only
acs-axiom,2023-05-06,0,2,0,0,0,left_only
acs-axiom,2023-05-07,0,2,0,0,0,left_only
acs-axiom,2023-05-08,0,2,0,0,0,left_only
acs-axiom,2023-05-09,0,2,0,0,0,left_only
acs-axiom,2023-05-10,0,2,0,0,0,left_only
acs-axiom,2023-05-11,1,3,0,0,0,left_only
acs-axiom,2023-05-12,1,4,0,0,0,left_only
acs-axiom,2023-05-13,0,4,0,0,0,left_only
acs-axiom,2023-05-14,0,4,0,0,0,left_only
acs-axiom,2023-05-15,0,4,0,0,0,left_only
acs-axiom,2023-05-16,0,4,0,0,0,left_only
acs-axiom,2023-05-17,0,4,0,0,0,left_only
acs-axiom,2023-05-18,0,4,0,0,0,left_only
acs-axiom,2023-05-19,0,4,0,0,0,left_only
acs-axiom,2023-05-20,3,7,0,0,0,left_only
acs-axiom,2023-05-21,3,10,0,0,0,left_only
acs-axiom,2023-05-22,0,10,0,0,0,left_only
acs-axiom,2023-05-23,0,10,0,0,0,left_only
acs-axiom,2023-05-24,0,10,0,0,0,left_only
acs-axiom,2023-05-25,0,10,0,0,0,left_only
acs-axiom,2023-05-26,0,10,0,0,0,left_only
acs-axiom,2023-05-27,0,10,0,0,0,left_only
acs-axiom,2023-05-28,0,10,0,0,0,left_only
acs-axiom,2023-05-29,0,10,0,0,0,left_only
acs-axiom,2023-05-30,0,10,0,0,0,left_only
acs-axiom,2023-05-31,0,10,0,0,0,left_only
acs-axiom,2023-06-01,0,10,0,0,0,left_only
acs-axiom,2023-06-02,0,10,0,0,0,left_only
acs-axiom,2023-06-03,0,10,0,0,0,left_only
acs-axiom,2023-06-04,0,10,0,0,0,left_only
acs-axiom,2023-06-05,0,10,0,0,0,left_only
acs-axiom,2023-06-06,0,10,0,0,0,left_only
acs-axiom,2023-06-07,0,10,0,0,0,left_only
acs-axiom,2023-06-08,0,10,0,0,0,left_only
acs-axiom,2023-06-09,0,10,0,0,0,left_only
acs-axiom,2023-06-10,0,10,0,0,0,left_only
adaptive-cards-py,2023-04-25,0,0,1,0,1,both
adaptive-cards-py,2023-04-26,1,1,1,0,1,both
adaptive-cards-py,2023-04-27,1,2,1,0,1,both
adaptive-cards-py,2023-04-28,1,3,1,0,1,both
adaptive-cards-py,2023-04-29,1,4,1,0,1,both
adaptive-cards-py,2023-04-30,0,4,1,0,1,both
adaptive-cards-py,2023-05-01,0,4,1,0,1,both
adaptive-cards-py,2023-05-02,1,5,1,0,1,both
adaptive-cards-py,2023-05-03,1,6,1,0,1,both
adaptive-cards-py,2023-05-04,0,6,1,0,1,both
adaptive-cards-py,2023-05-05,0,6,1,0,1,both
adaptive-cards-py,2023-05-06,0,6,1,0,1,both
adaptive-cards-py,2023-05-07,0,6,1,0,1,both
adaptive-cards-py,2023-05-08,0,6,1,0,1,both
adaptive-cards-py,2023-05-09,0,6,1,0,1,both
adaptive-cards-py,2023-05-10,0,6,1,0,1,both
adaptive-cards-py,2023-05-11,2,8,1,0,1,both
adaptive-cards-py,2023-05-12,2,10,1,0,1,both
adaptive-cards-py,2023-05-13,0,10,1,0,1,both
adaptive-cards-py,2023-05-14,0,10,1,0,1,both
adaptive-cards-py,2023-05-15,0,10,1,0,1,both
adaptive-cards-py,2023-05-16,1,11,1,0,1,both
adaptive-cards-py,2023-05-17,1,12,1,0,1,both
adaptive-cards-py,2023-05-18,1,13,1,0,1,both
adaptive-cards-py,2023-05-19,1,14,1,0,1,both
adaptive-cards-py,2023-05-20,0,14,1,0,1,both
adaptive-cards-py,2023-05-21,0,14,1,0,1,both
adaptive-cards-py,2023-05-22,0,14,1,0,1,both
adaptive-cards-py,2023-05-23,3,17,1,0,1,both
adaptive-cards-py,2023-05-24,3,20,1,0,1,both
adaptive-cards-py,2023-05-25,0,20,1,0,1,both
adaptive-cards-py,2023-05-26,0,20,1,0,1,both
adaptive-cards-py,2023-05-27,0,20,1,0,1,both
adaptive-cards-py,2023-05-28,0,20,1,0,1,both
adaptive-cards-py,2023-05-29,0,20,1,0,1,both
adaptive-cards-py,2023-05-30,1,21,1,0,1,both
adaptive-cards-py,2023-05-31,2,23,1,0,1,both
adaptive-cards-py,2023-06-01,1,24,1,0,1,both
adaptive-cards-py,2023-06-02,0,24,1,0,1,both
adaptive-cards-py,2023-06-03,0,24,1,0,1,both
adaptive-cards-py,2023-06-04,0,24,1,0,1,both
adaptive-cards-py,2023-06-05,1,25,1,0,1,both
adaptive-cards-py,2023-06-06,1,26,1,0,1,both
adaptive-cards-py,2023-06-07,0,26,1,0,1,both
adaptive-cards-py,2023-06-08,0,26,1,0,1,both
adaptive-cards-py,2023-06-09,0,26,1,0,1,both
adaptive-cards-py,2023-06-10,0,26,1,0,1,both
adversary-armor,2023-04-25,0,0,1,0,1,both
adversary-armor,2023-04-26,11,11,1,0,1,both
adversary-armor,2023-04-27,12,23,1,0,1,both
adversary-armor,2023-04-28,1,24,1,0,1,both
adversary-armor,2023-04-29,0,24,1,0,1,both
adversary-armor,2023-04-30,0,24,1,0,1,both
adversary-armor,2023-05-01,0,24,1,0,1,both
adversary-armor,2023-05-02,0,24,1,0,1,both
adversary-armor,2023-05-03,0,24,1,0,1,both
adversary-armor,2023-05-04,0,24,1,0,1,both
adversary-armor,2023-05-05,1,25,1,0,1,both
adversary-armor,2023-05-06,1,26,1,0,1,both
adversary-armor,2023-05-07,0,26,1,0,1,both
adversary-armor,2023-05-08,0,26,1,0,1,both
adversary-armor,2023-05-09,0,26,1,0,1,both
adversary-armor,2023-05-10,0,26,1,0,1,both
adversary-armor,2023-05-11,1,27,1,0,1,both
adversary-armor,2023-05-12,1,28,1,0,1,both
adversary-armor,2023-05-13,1,29,1,0,1,both
adversary-armor,2023-05-14,1,30,1,0,1,both
adversary-armor,2023-05-15,0,30,1,0,1,both
adversary-armor,2023-05-16,0,30,1,0,1,both
adversary-armor,2023-05-17,0,30,1,0,1,both
adversary-armor,2023-05-18,1,31,1,0,1,both
adversary-armor,2023-05-19,1,32,1,0,1,both
adversary-armor,2023-05-20,0,32,1,0,1,both
adversary-armor,2023-05-21,0,32,1,0,1,both
adversary-armor,2023-05-22,0,32,1,0,1,both
adversary-armor,2023-05-23,0,32,1,0,1,both
adversary-armor,2023-05-24,0,32,1,0,1,both
adversary-armor,2023-05-25,0,32,1,0,1,both
adversary-armor,2023-05-26,0,32,1,0,1,both
adversary-armor,2023-05-27,0,32,1,0,1,both
adversary-armor,2023-05-28,0,32,1,0,1,both
adversary-armor,2023-05-29,0,32,1,0,1,both
adversary-armor,2023-05-30,1,33,1,0,1,both
adversary-armor,2023-05-31,0,33,1,0,1,both
adversary-armor,2023-06-01,0,33,1,0,1,both
adversary-armor,2023-06-02,0,33,1,0,1,both
adversary-armor,2023-06-03,0,33,1,0,1,both
adversary-armor,2023-06-04,0,33,1,0,1,both
adversary-armor,2023-06-05,0,33,1,0,1,both
adversary-armor,2023-06-06,0,33,1,0,1,both
adversary-armor,2023-06-07,0,33,1,0,1,both
adversary-armor,2023-06-08,0,33,1,0,1,both
adversary-armor,2023-06-09,0,33,1,0,1,both
adversary-armor,2023-06-10,0,33,1,0,1,both
aeropython,2023-04-25,16,16,0,0,0,left_only
aeropython,2023-04-26,8,24,0,0,0,left_only
aeropython,2023-04-27,2,26,0,0,0,left_only
aeropython,2023-04-28,0,26,0,0,0,left_only
aeropython,2023-04-29,0,26,0,0,0,left_only
aeropython,2023-04-30,0,26,0,0,0,left_only
aeropython,2023-05-01,0,26,0,0,0,left_only
aeropython,2023-05-02,0,26,0,0,0,left_only
aeropython,2023-05-03,0,26,0,0,0,left_only
aeropython,2023-05-04,0,26,0,0,0,left_only
aeropython,2023-05-05,1,27,0,0,0,left_only
aeropython,2023-05-06,1,28,0,0,0,left_only
aeropython,2023-05-07,0,28,0,0,0,left_only
aeropython,2023-05-08,0,28,0,0,0,left_only
aeropython,2023-05-09,0,28,0,0,0,left_only
aeropython,2023-05-10,0,28,0,0,0,left_only
aeropython,2023-05-11,1,29,0,0,0,left_only
aeropython,2023-05-12,3,32,0,0,0,left_only
aeropython,2023-05-13,3,35,0,0,0,left_only
aeropython,2023-05-14,1,36,0,0,0,left_only
aeropython,2023-05-15,0,36,0,0,0,left_only
