pkg,return_code,github_url,homepage,earliest_release,gh_url_check,github,pypi,label,no readme,not new
wikiseriesasorkunlib,200,https://github.com/alisorkuncuk/wikiseriesasorkunlib,https://github.com/alisorkuncuk/wikiseriesasorkunlib,2023-04-26T14:24:45,1,https://github.com/alisorkuncuk/wikiseriesasorkunlib,https://pypi.org/project/wikiseriesasorkunlib/#history,"wikiseriesasorkunlib
https://github.com/alisorkuncuk/wikiseriesasorkunlib
https://pypi.org/project/wikiseriesasorkunlib/#history",,
ethhelper,200,https://github.com/XiaoHuiHui233/ETHHelper,https://github.com/XiaoHuiHui233/ETHHelper,2023-04-24T03:33:31,1,https://github.com/XiaoHuiHui233/ETHHelper,https://pypi.org/project/ethhelper/#history,"ethhelper
https://github.com/XiaoHuiHui233/ETHHelper
https://pypi.org/project/ethhelper/#history",,
chatllm,200,https://github.com/yuanjie-ai/ChatLLM,https://github.com/yuanjie-ai/ChatLLM,2023-04-25T02:49:39,1,https://github.com/yuanjie-ai/ChatLLM,https://pypi.org/project/chatllm/#history,"chatllm
https://github.com/yuanjie-ai/ChatLLM
https://pypi.org/project/chatllm/#history",,
project-processamento,200,https://github.com/Mauricio8583/Pacotes_processamento_python,https://github.com/Mauricio8583/Pacotes_processamento_python,2023-04-24T18:25:32,1,https://github.com/Mauricio8583/Pacotes_processamento_python,https://pypi.org/project/project-processamento/#history,"project-processamento
https://github.com/Mauricio8583/Pacotes_processamento_python
https://pypi.org/project/project-processamento/#history",,
super-duper-waddle,200,https://github.com/entelecheia/super-duper-waddle,https://entelecheia.github.io/super-duper-waddle,2023-04-27T05:58:17,1,https://github.com/entelecheia/super-duper-waddle,https://pypi.org/project/super-duper-waddle/#history,"super-duper-waddle
https://github.com/entelecheia/super-duper-waddle
https://pypi.org/project/super-duper-waddle/#history",,
chapsnap,200,https://github.com/rlaphoenix/ChapSnap,https://github.com/rlaphoenix/ChapSnap,2023-04-26T00:42:12,1,https://github.com/rlaphoenix/ChapSnap,https://pypi.org/project/chapsnap/#history,"chapsnap
https://github.com/rlaphoenix/ChapSnap
https://pypi.org/project/chapsnap/#history",,
timelessnesses-typed-env,200,https://github.com/timelessnesses/typed_env,https://github.com/timelessnesses/typed_env,2023-04-29T08:47:44,1,https://github.com/timelessnesses/typed_env,https://pypi.org/project/timelessnesses-typed-env/#history,"timelessnesses-typed-env
https://github.com/timelessnesses/typed_env
https://pypi.org/project/timelessnesses-typed-env/#history",,
jurebes,200,https://github.com/OpenVoiceOS/jurebes,https://github.com/OpenVoiceOS/jurebes,2023-04-24T05:26:47,1,https://github.com/OpenVoiceOS/jurebes,https://pypi.org/project/jurebes/#history,"jurebes
https://github.com/OpenVoiceOS/jurebes
https://pypi.org/project/jurebes/#history",,
vaspgibbs,200,https://github.com/ftherrien/VaspGibbs,https://github.com/ftherrien/VaspGibbs,2023-04-28T01:39:31,1,https://github.com/ftherrien/VaspGibbs,https://pypi.org/project/vaspgibbs/#history,"vaspgibbs
https://github.com/ftherrien/VaspGibbs
https://pypi.org/project/vaspgibbs/#history",,
stitchtoon,200,https://github.com/BishrGhalil/stitchtoon,,2023-04-29T05:04:36,1,https://github.com/BishrGhalil/stitchtoon,https://pypi.org/project/stitchtoon/#history,"stitchtoon
https://github.com/BishrGhalil/stitchtoon
https://pypi.org/project/stitchtoon/#history",,
dbt-odps,200,https://github.com/ai-excelsior/F2AI,https://github.com/ai-excelsior/F2AI,2023-04-24T04:36:29,1,https://github.com/ai-excelsior/F2AI,https://pypi.org/project/dbt-odps/#history,"dbt-odps
https://github.com/ai-excelsior/F2AI
https://pypi.org/project/dbt-odps/#history",,
text-box-wrapper,200,https://github.com/Hootrix/text-box-wrapper,https://github.com/Hootrix/text-box-wrapper,2023-04-23T17:31:05,1,https://github.com/Hootrix/text-box-wrapper,https://pypi.org/project/text-box-wrapper/#history,"text-box-wrapper
https://github.com/Hootrix/text-box-wrapper
https://pypi.org/project/text-box-wrapper/#history",,
porkbun-ddns,200,https://github.com/mietzen/porkbun-ddns,https://github.com/mietzen/porkbun-ddns,2023-04-23T10:41:40,1,https://github.com/mietzen/porkbun-ddns,https://pypi.org/project/porkbun-ddns/#history,"porkbun-ddns
https://github.com/mietzen/porkbun-ddns
https://pypi.org/project/porkbun-ddns/#history",,
odoo-addon-stock-move-line-reserved-quant,200,https://github.com/OCA/stock-logistics-workflow,https://github.com/OCA/stock-logistics-workflow,2023-04-28T13:09:43,1,https://github.com/OCA/stock-logistics-workflow,https://pypi.org/project/odoo-addon-stock-move-line-reserved-quant/#history,"odoo-addon-stock-move-line-reserved-quant
https://github.com/OCA/stock-logistics-workflow
https://pypi.org/project/odoo-addon-stock-move-line-reserved-quant/#history",,
